罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,川崎臨港,浜町,神奈川県,川崎市川崎区,桜本２丁目,2018-06-15,16,道路上,女性,65-69歳,あり
窃盗,ひったくり,川崎臨港,出来野,神奈川県,川崎市川崎区,昭和２丁目,2017-12-31,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,武蔵小杉駅前,神奈川県,川崎市中原区,小杉町１丁目,2018-08-19,20,道路上,女性,40歳代,あり
窃盗,ひったくり,中原,井田,神奈川県,川崎市中原区,井田２丁目,2018-04-10,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,井田,神奈川県,川崎市中原区,井田中ノ町,2018-08-13,11,道路上,女性,50歳代,なし
窃盗,ひったくり,中原,井田,神奈川県,川崎市中原区,井田中ノ町,2018-12-24,21,道路上,女性,20歳代,あり
窃盗,ひったくり,中原,木月三丁目,神奈川県,川崎市中原区,木月３丁目,2018-05-23,6,道路上,男性,30歳代,あり
窃盗,ひったくり,中原,木月三丁目,神奈川県,川崎市中原区,木月４丁目,2018-08-10,15,道路上,女性,60-64歳,あり
窃盗,ひったくり,高津,北見方,神奈川県,川崎市高津区,北見方１丁目,2018-07-27,19,道路上,女性,65-69歳,あり
窃盗,ひったくり,高津,末長,神奈川県,川崎市高津区,梶ケ谷１丁目,2018-09-11,9,道路上,女性,40歳代,あり
窃盗,ひったくり,多摩,中野島,神奈川県,川崎市多摩区,中野島１丁目,2018-01-20,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,菅,神奈川県,川崎市多摩区,菅５丁目,2018-01-12,23,道路上,女性,20歳代,あり
窃盗,ひったくり,多摩,菅,神奈川県,川崎市多摩区,菅北浦２丁目,2018-11-23,19,道路上,女性,20歳代,あり
窃盗,ひったくり,多摩,生田,神奈川県,川崎市多摩区,三田１丁目,2018-04-17,9,道路上,女性,30歳代,あり
窃盗,ひったくり,多摩,読売ランド駅前,神奈川県,川崎市多摩区,生田６丁目,2018-12-17,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,多摩,読売ランド駅前,神奈川県,川崎市多摩区,西生田３丁目,2018-03-07,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,幸,幸町,神奈川県,川崎市幸区,幸町３丁目,2018-07-31,7,道路上,男性,50歳代,なし
窃盗,ひったくり,宮前,鷺沼駅前,神奈川県,川崎市宮前区,鷺沼１丁目,2018-10-01,10,その他,女性,70歳以上,あり
窃盗,ひったくり,宮前,蔵敷,神奈川県,川崎市宮前区,初山２丁目,2018-05-18,22,道路上,女性,10歳代,なし
窃盗,ひったくり,田浦,夏島町,神奈川県,横須賀市,夏島町,2018-10-16,3,道路上,男性,20歳代,あり
窃盗,ひったくり,浦賀,浦賀港,神奈川県,横須賀市,浦上台２丁目,2018-06-30,23,道路上,男性,30歳代,あり
窃盗,ひったくり,浦賀,北久里浜駅前,神奈川県,横須賀市,根岸町４丁目,2018-05-05,21,道路上,女性,10歳代,あり
窃盗,ひったくり,藤沢北,長後駅前,神奈川県,藤沢市,下土棚,2018-12-04,16,道路上,女性,70歳以上,なし
窃盗,ひったくり,藤沢北,長後駅前,神奈川県,藤沢市,長後,2018-10-07,18,道路上,女性,65-69歳,あり
窃盗,ひったくり,藤沢北,長後駅前,神奈川県,藤沢市,長後,2018-12-14,11,道路上,女性,20歳代,あり
窃盗,ひったくり,藤沢北,六会日大駅前,神奈川県,藤沢市,亀井野２丁目,2018-12-05,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢北,石川,神奈川県,藤沢市,石川４丁目,2018-12-07,22,道路上,女性,30歳代,あり
窃盗,ひったくり,藤沢北,湘南台駅東口,神奈川県,藤沢市,湘南台５丁目,2018-12-26,16,道路上,男性,70歳以上,あり
窃盗,ひったくり,藤沢北,湘南台駅東口,神奈川県,藤沢市,湘南台７丁目,2018-12-08,20,道路上,女性,70歳以上,なし
窃盗,ひったくり,逗子,久木,神奈川県,逗子市,久木３丁目,2018-05-09,23,道路上,女性,50歳代,あり
窃盗,ひったくり,鎌倉,鎌倉駅前,神奈川県,鎌倉市,二階堂,2018-03-09,19,道路上,女性,20歳代,あり
窃盗,ひったくり,鎌倉,鎌倉駅前,神奈川県,鎌倉市,雪ノ下３丁目,2018-04-25,21,道路上,女性,50歳代,なし
窃盗,ひったくり,鎌倉,名越,神奈川県,鎌倉市,,2018-04-23,23,道路上,女性,30歳代,なし
窃盗,ひったくり,鎌倉,名越,神奈川県,鎌倉市,大町５丁目,2018-04-23,23,道路上,女性,20歳代,あり
窃盗,ひったくり,鎌倉,深沢,神奈川県,鎌倉市,手広４丁目,2018-04-25,22,道路上,女性,30歳代,なし
窃盗,ひったくり,鎌倉,御成,神奈川県,鎌倉市,笹目町,2018-12-03,22,道路上,男性,10歳代,あり
窃盗,ひったくり,大船,玉縄,神奈川県,鎌倉市,植木,2018-12-07,20,道路上,女性,40歳代,あり
窃盗,ひったくり,大船,玉縄,神奈川県,鎌倉市,岡本,2018-03-30,23,道路上,女性,40歳代,あり
窃盗,ひったくり,大船,玉縄,神奈川県,鎌倉市,岡本２丁目,2018-11-25,19,道路上,女性,20歳代,なし
窃盗,ひったくり,大船,玉縄,神奈川県,鎌倉市,玉縄１丁目,2018-12-26,13,道路上,女性,50歳代,あり
窃盗,ひったくり,大船,台,神奈川県,鎌倉市,小袋谷２丁目,2018-10-24,21,道路上,男性,50歳代,あり
窃盗,ひったくり,藤沢,本町白旗,神奈川県,藤沢市,鵠沼神明１丁目,2018-04-28,0,道路上,女性,50歳代,あり
窃盗,ひったくり,藤沢,羽鳥,神奈川県,藤沢市,城南４丁目,2018-08-14,20,道路上,女性,40歳代,あり
窃盗,ひったくり,藤沢,辻堂駅前,神奈川県,藤沢市,辻堂元町２丁目,2018-05-01,0,道路上,女性,20歳代,あり
窃盗,ひったくり,藤沢,辻堂駅前,神奈川県,藤沢市,辻堂元町２丁目,2018-12-03,18,道路上,女性,30歳代,なし
窃盗,ひったくり,藤沢,辻堂駅前,神奈川県,藤沢市,辻堂元町５丁目,2018-04-27,23,道路上,女性,30歳代,あり
窃盗,ひったくり,茅ケ崎,茅ケ崎駅南口,神奈川県,茅ヶ崎市,幸町,2018-05-20,21,道路上,女性,20歳代,あり
窃盗,ひったくり,茅ケ崎,今宿,神奈川県,茅ヶ崎市,萩園,2018-09-29,2,その他,女性,10歳代,なし
窃盗,ひったくり,茅ケ崎,浜見平,神奈川県,茅ヶ崎市,柳島海岸,2018-10-03,21,道路上,女性,50歳代,あり
窃盗,ひったくり,茅ケ崎,小和田,神奈川県,茅ヶ崎市,菱沼２丁目,2018-11-24,14,道路上,女性,50歳代,なし
窃盗,ひったくり,茅ケ崎,小和田,神奈川県,茅ヶ崎市,菱沼３丁目,2018-12-08,23,道路上,男性,65-69歳,なし
窃盗,ひったくり,茅ケ崎,鶴が台,神奈川県,茅ヶ崎市,香川２丁目,2018-09-22,17,道路上,女性,30歳代,あり
窃盗,ひったくり,茅ケ崎,鶴が台,神奈川県,茅ヶ崎市,高田２丁目,2018-12-10,12,道路上,女性,40歳代,あり
窃盗,ひったくり,茅ケ崎,鶴が台,神奈川県,茅ヶ崎市,みずき３丁目,2018-11-19,11,道路上,女性,60-64歳,なし
窃盗,ひったくり,茅ケ崎,宮山,神奈川県,寒川町,宮山,2018-11-19,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,茅ケ崎,寒川駅前,神奈川県,寒川町,岡田,2018-11-24,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,平塚,平塚駅前,神奈川県,平塚市,宝町,2018-01-06,5,その他,女性,40歳代,あり
窃盗,ひったくり,平塚,西仲町,神奈川県,平塚市,平塚１丁目,2018-12-04,17,道路上,女性,20歳代,あり
窃盗,ひったくり,平塚,西仲町,神奈川県,平塚市,平塚１丁目,2018-12-05,15,道路上,男性,60-64歳,あり
窃盗,ひったくり,平塚,西仲町,神奈川県,平塚市,平塚１丁目,2018-12-07,21,道路上,女性,20歳代,あり
窃盗,ひったくり,平塚,西仲町,神奈川県,平塚市,平塚３丁目,2018-12-08,17,道路上,女性,30歳代,あり
窃盗,ひったくり,平塚,八幡,神奈川県,平塚市,西八幡１丁目,2018-01-11,23,道路上,女性,30歳代,あり
窃盗,ひったくり,平塚,八幡,神奈川県,平塚市,東真土１丁目,2018-01-11,22,道路上,女性,10歳代,なし
窃盗,ひったくり,平塚,旭,神奈川県,平塚市,万田,2018-07-16,19,道路上,男性,30歳代,なし
窃盗,ひったくり,平塚,神田,神奈川県,平塚市,大神,2018-09-06,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,大磯,小磯,神奈川県,大磯町,東小磯,2018-12-01,0,道路上,女性,20歳代,なし
窃盗,ひったくり,小田原,早川駅前,神奈川県,小田原市,板橋,2018-11-12,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,松田,狩野,神奈川県,南足柄市,狩野,2018-11-14,19,道路上,男性,40歳代,あり
窃盗,ひったくり,秦野,秦野駅前,神奈川県,秦野市,入船町,2018-09-12,15,その他,女性,70歳以上,あり
窃盗,ひったくり,秦野,秦野駅前,神奈川県,秦野市,今泉台３丁目,2018-10-10,17,その他,女性,20歳代,あり
窃盗,ひったくり,秦野,渋沢,神奈川県,秦野市,曲松２丁目,2018-06-25,19,道路上,男性,70歳以上,あり
窃盗,ひったくり,厚木,緑ケ丘,神奈川県,厚木市,戸室３丁目,2018-08-05,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原,淵野辺駅北口,神奈川県,相模原市中央区,淵野辺２丁目,2018-04-27,23,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,東淵野辺４丁目,2018-12-09,1,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,矢部１丁目,2018-02-11,20,道路上,男性,30歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,矢部２丁目,2018-01-16,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,矢部２丁目,2018-04-29,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,矢部３丁目,2018-02-04,19,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原,淵野辺駅南口,神奈川県,相模原市中央区,矢部３丁目,2018-07-22,22,道路上,男性,60-64歳,あり
窃盗,ひったくり,相模原,相模原駅前,神奈川県,相模原市中央区,相模原８丁目,2018-04-21,22,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,横山,神奈川県,相模原市中央区,中央４丁目,2018-09-05,19,道路上,女性,50歳代,あり
窃盗,ひったくり,相模原,相生,神奈川県,相模原市中央区,並木３丁目,2018-11-02,21,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原,相生,神奈川県,相模原市中央区,並木４丁目,2018-09-28,20,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,相生,神奈川県,相模原市中央区,富士見２丁目,2018-01-15,19,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原,南橋本駅前,神奈川県,相模原市中央区,清新７丁目,2018-05-20,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,相模原南,古淵駅前,神奈川県,相模原市南区,大野台２丁目,2018-09-01,0,道路上,女性,30歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,神奈川県,相模原市南区,大野台５丁目,2018-02-20,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,古淵駅前,神奈川県,相模原市南区,大野台６丁目,2018-01-30,12,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原南,古淵駅前,神奈川県,相模原市南区,大野台８丁目,2018-09-05,21,道路上,女性,10歳代,あり
窃盗,ひったくり,相模原南,大野,神奈川県,相模原市南区,西大沼１丁目,2018-07-16,21,道路上,女性,30歳代,なし
窃盗,ひったくり,相模原南,南大野,神奈川県,相模原市南区,南台５丁目,2018-09-05,21,道路上,女性,40歳代,あり
窃盗,ひったくり,相模原南,南大野,神奈川県,相模原市南区,南台５丁目,2018-09-05,21,道路上,女性,50歳代,なし
窃盗,ひったくり,相模原南,相模大野駅前,神奈川県,相模原市南区,相模大野５丁目,2018-02-09,20,道路上,男性,10歳代,なし
窃盗,ひったくり,相模原南,東林間,神奈川県,相模原市南区,上鶴間７丁目,2018-09-08,23,道路上,女性,50歳代,あり
窃盗,ひったくり,相模原南,新磯野,神奈川県,相模原市南区,相模台団地,2018-09-30,17,道路上,女性,30歳代,なし
窃盗,ひったくり,相模原南,相南,神奈川県,相模原市南区,相南１丁目,2018-09-27,23,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,相南,神奈川県,相模原市南区,相南３丁目,2018-07-02,19,道路上,女性,50歳代,あり
窃盗,ひったくり,座間,相模が丘,神奈川県,座間市,相模が丘５丁目,2018-02-05,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,座間,栗原,神奈川県,座間市,さがみ野１丁目,2018-04-09,18,道路上,女性,30歳代,なし
窃盗,ひったくり,座間,ひばりが丘,神奈川県,座間市,ひばりが丘１丁目,2018-02-21,20,道路上,女性,65-69歳,あり
窃盗,ひったくり,海老名,国分寺台,神奈川県,海老名市,浜田町,2018-05-04,23,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,橋本３丁目,2018-04-19,9,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,橋本４丁目,2018-01-18,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,橋本４丁目,2018-02-01,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,橋本４丁目,2018-07-07,21,道路上,女性,40歳代,なし
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,東橋本１丁目,2018-06-19,21,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原北,橋本駅前,神奈川県,相模原市緑区,東橋本２丁目,2018-10-13,23,道路上,女性,10歳代,あり
